"x","y"
2,123.382
3,611.775
4,756.616
5,1256.7
6,696.479
7,829.819
8,627.862
9,815.174
10,617.75
11,1251.67
12,758.773
13,714.595
14,907.12
15,871.648
16,628.633
17,1042.09
18,742.379
19,947.155
20,870.906
21,706.102
22,431.844
23,660.012
24,960.851
25,849.12
26,866.862
27,1097.42
28,1408.1899
29,899.107
30,1007.86
31,1078.13
32,1607.08
33,1188.04
34,1067.97
35,910.367
36,1104.42
37,1431.34
38,1282.0601
39,1381.4301
40,1927.24
41,1266.04
42,1297.25
43,1471.16
44,1363.21
45,1001.1
46,1061.73
47,1564.8
48,1044.3
49,1485.03
50,1469.1801
51,1136.46
52,1658.55
53,1119.11
54,1114.63
55,1542.17
56,1526.97
57,1625.0699
58,1705.01
59,1279.75
60,1930.2
61,1623.63
62,1893.53
63,1631.59
64,1451.54
65,1521.12
66,1617.34
67,1659.02
68,1819.35
69,2297.1899
70,1762.3101
71,1690.5
72,1505.23
73,2635.26
74,2110.74
75,1917.14
76,1766.54
77,1958.49
78,1831.37
79,1644
80,2249.8
81,2149.72
82,2826.3799
83,2002.23
84,1715.92
85,2416.5
86,2427.54
87,2503.27
88,1839.17
89,2453.23
90,2266.8501
91,2570.72
92,2456.47
93,2773.5901
94,2112.3
95,2116.3201
96,2442.21
97,2484.01
98,1887.48
99,2694.6399
100,3034.3999
101,2652.8899
102,2935.21
103,2630.04
104,2863.8401
105,2239.3799
106,2532.6299
107,3119.99
108,3531.78
109,2767.6899
110,3432.76
111,2849.1699
112,2872.23
113,2498.3201
114,2111.74
115,3267.9399
116,3479.55
117,4595.6299
118,3658.6399
119,3438.8201
120,3007.98
121,4337.7402
122,2956.8799
123,3265.8601
124,2981.23
125,3084.3501
126,3598.5601
127,3479.05
128,3553
129,3274.71
130,3858.1399
131,3090.77
132,3187.25
133,3395.0901
134,3675.76
135,3978.98
136,4476.5698
137,3741.1499
138,3869.3799
139,4185.8599
140,4172.4102
141,4222.6001
142,4096.1699
143,4251.5298
144,3655.49
145,5231.4399
146,4097.1001
147,3949.5901
148,3900.25
149,3399.8
150,4220.6802
151,4182.73
152,4428.0698
153,4789.3198
154,4042.27
155,4732.4902
156,4129.2202
157,4487.52
158,5116.02
159,4780.5698
160,4663.04
161,4505.6899
162,4278.8301
163,4385.3301
164,4436.9399
165,4421.6201
166,4444.7598
167,4899.3999
168,4996.21
169,4757.96
170,4289.29
171,4572.1001
172,4689.1499
173,4945.3999
174,4636.6899
175,5132.3501
176,5291.8301
177,4906.1299
178,5036.71
179,6034.54
180,5097.6201
181,3655.3611
182,4459.376
183,4202.4458
184,5565.5771
185,5292.7871
186,4965.5161
187,5221.6299
188,5948.0908
189,6163.9219
190,5495.4351
191,5468
192,6175.0918
193,5738.895
194,5214.8569
195,4661.042
196,5356.1099
197,5740.666
198,5702.0669
199,5105.9868
200,6152.48
201,5074.6128
202,5240.978
203,5815.832
204,5448.981
205,5391.9409
206,4888.0298
207,4442.5239
208,4605.2349
209,4306.1968
210,5648.5791
211,5285.3618
212,5689.2061
213,5726.2051
214,5140.9419
215,6542.2061
216,5581.5459
217,4907.5288
218,6008.8159
219,5487.0908
220,6064.0288
221,6387.7358
222,5969.8052
223,5724.6572
224,5238.1372
225,5334.3311
226,5632.4858
227,5791.2051
228,5262.7842
229,4980.0269
230,5383.9858
231,5718.6958
232,5988.064
233,5956.9209
234,4419.0908
235,6361.145
236,6613.8882
237,5088.7568
238,5748.063
239,5443.6909
240,6037.1948
241,5428.4111
242,5102.0361
243,5122.0449
244,5174.957
245,6054.9761
246,5410.7622
247,5513.8818
248,5746.8042
